Description,Price,Rating,ReviewCount,Url
"AGB Octev GA-9009 15.6""Laptop (Intel Core i7-1165G7 11th Gen, 16GB RAM / 1TB SSD / Intel Iris Xe / MX 450 / Win 10 Pro (Free Upgrade in Windows 11) / Aluminium Body","₹80,000",5.0 out of 5 stars,1,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozMDE3NDA3NzM0OTQzNzQ2OjE2NzA4MjA5MzQ6c3BfYXRmX25leHQ6MjAwNTAyMTM2NDE2OTg6OjA6Og&url=%2FAGB-GA-9009-Laptop-i7-1165G7-Aluminium%2Fdp%2FB09T2KP3VD%2Fref%3Dsr_1_81_sspa%3Fcrid%3D3VP0SAVW3TZS7%26keywords%3Dlaptop%26qid%3D1670820934%26sprefix%3Dlaptop%252Caps%252C214%26sr%3D8-81-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
"Lenovo V15 Intel Celeron N4020 15.6"" (39.62 cm) HD 220 nits Antiglare Thin and Light Laptop (4GB RAM/256GB SSD/DOS/Iron Grey/1.85 kg), 82C3A008IH","₹19,990",3.8 out of 5 stars,117,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozMDE3NDA3NzM0OTQzNzQ2OjE2NzA4MjA5MzQ6c3BfYXRmX25leHQ6MjAwOTM0Mzk4ODk1OTg6OjA6Og&url=%2FLenovo-V15-IGL-82C3A008IH-Graphics-Warranty%2Fdp%2FB09MZPN672%2Fref%3Dsr_1_82_sspa%3Fcrid%3D3VP0SAVW3TZS7%26keywords%3Dlaptop%26qid%3D1670820934%26sprefix%3Dlaptop%252Caps%252C214%26sr%3D8-82-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
"2022 Apple MacBook Air Laptop with M2 chip: 34.46 cm (13.6-inch) Liquid Retina Display, 8GB RAM, 256GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera. Works with iPhone/iPad; Silver","₹1,04,313",,,https://www.amazon.in/2022-Apple-MacBook-Laptop-chip/dp/B0B3BLY13H/ref=sr_1_83?crid=3VP0SAVW3TZS7&keywords=laptop&qid=1670820934&sprefix=laptop%2Caps%2C214&sr=8-83
"Dell New Alienware x17R2 Gaming Laptop, Intel i7-12700H, Win 11 + MS Office'21, 32GB DDR5, 1TB SSD, NVIDIA RTX 3070 Ti (8GB GDDR6), Alienware CherryMX Backlit KB, Lunar Light (D569943WIN9) 2.34Kgs","₹3,01,376.99",5.0 out of 5 stars,1,https://www.amazon.in/Dell-Alienware-i7-12700H-Office21-D569943WIN9/dp/B09TNXP16Y/ref=sr_1_84?crid=3VP0SAVW3TZS7&keywords=laptop&qid=1670820934&sprefix=laptop%2Caps%2C214&sr=8-84
"ASUS VivoBook 15 (2020), 15.6” HD LED, Quad Core Intel Pentium N5030, Thin and Light Laptop (4GB RAM/1 TB HDD/Integrated Graphics/Windows 11 Home/Transparent Silver/1.8 Kg), X515MA-BR101W","₹22,275",2.1 out of 5 stars,9,https://www.amazon.in/ASUS-VivoBook-Integrated-Transparent-X515MA-BR101W/dp/B09WKQ8YN6/ref=sr_1_85?crid=3VP0SAVW3TZS7&keywords=laptop&qid=1670820934&sprefix=laptop%2Caps%2C214&sr=8-85
"(Renewed) HP 14s, 12th Gen Intel Core i5 16GB RAM/512GB SSD 14-inch(35.6 cm) FHD, Touch,Micro-Edge, Anti-Glare Display/Intel Iris Xe Graphics/Alexa/Dual Speakers/Win 11/Backlit KB/MSO 2021/1.41 Kg, 14s-dy5005TU","₹56,889",,,https://www.amazon.in/HP-Micro-Edge-Anti-Glare-Graphics-14s-dy5005TU/dp/B0B9WXJ2BW/ref=sr_1_86?crid=3VP0SAVW3TZS7&keywords=laptop&qid=1670820934&sprefix=laptop%2Caps%2C214&sr=8-86
"ASUS Vivobook 15, 15.6-inch (39.62 cms) FHD, AMD Ryzen 5 3500U, Thin and Light Laptop (8GB/512GB SSD/Integrated Graphics/Windows 11/Office 2021/Silver/1.8 kg), M515DA-BQ512WS, Transparent Silver","₹39,516",4.1 out of 5 stars,82,https://www.amazon.in/ASUS-15-6-inch-Integrated-M515DA-BQ512WS-Transparent/dp/B09W9XYK47/ref=sr_1_87?crid=3VP0SAVW3TZS7&keywords=laptop&qid=1670820934&sprefix=laptop%2Caps%2C214&sr=8-87
"ASUS VivoBook Flip 14 (2021), 14-inch (35.56 cm) FHD Touch, Intel Core i5-1135G7 11th Gen, 2-in-1 Laptop (8GB/512GB SSD/Office 2021/Windows 11/Iris Xe Graphics/Black/1.5 kg), TP470EA-EC512WS","₹61,990",3.9 out of 5 stars,17,https://www.amazon.in/ASUS-VivoBook-i5-1135G7-Iris-Xe-Graphics-TP470EA-EC512WS/dp/B09RQK4HJY/ref=sr_1_88?crid=3VP0SAVW3TZS7&keywords=laptop&qid=1670820934&sprefix=laptop%2Caps%2C214&sr=8-88
Mi Notebook Ultra 3.2K Resolution Display Intel Core I5-11300H 11Th Gen 15.6 Inches Thin Light Laptop(16Gb/512Gb Ssd/Iris Xe Graphics/Windows 11 Home/Ms Office 21/Backlit Kb/Fingerprint Sensor/1.7Kg),"₹63,500",4.2 out of 5 stars,"1,931",https://www.amazon.in/Notebook-resolution-i5-11300H-15-6-inch-Fingerprint/dp/B098XK9BPC/ref=sr_1_89?crid=3VP0SAVW3TZS7&keywords=laptop&qid=1670820934&sprefix=laptop%2Caps%2C214&sr=8-89
"Lenovo ThinkBook 15 AMD Ryzen 3 5300U 15.6"" (39.62cm) FHD 220 Nits Antiglare Thin and Light Laptop (8GB/512GB SSD/Windows 11/MS Office/Mineral Grey/1.7 Kg), 21A4A09TIH","₹37,490",4.1 out of 5 stars,102,https://www.amazon.in/Lenovo-ThinkBook-39-62cm-Antiglare-21A4A09TIH/dp/B0B1DJS5PN/ref=sr_1_90?crid=3VP0SAVW3TZS7&keywords=laptop&qid=1670820934&sprefix=laptop%2Caps%2C214&sr=8-90
Mi NoteBook Ultra 3.2K Resolution Display Intel Core i5-11300H 11th Gen 15.6 Inch Thin Light Laptop (8GB/512GB SSD/Iris Xe Graphics/Windows 11 Home/Office 21/Backlit Keyboard/Fingerprint Sensor/1.7Kg),"₹59,999",4.2 out of 5 stars,"1,931",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozMDE3NDA3NzM0OTQzNzQ2OjE2NzA4MjA5MzQ6c3BfbXRmOjIwMDQxMTQ3MTE1OTk4OjowOjo&url=%2FNotebook-Resolution-i5-11300H-15-6-inch-Fingerprint%2Fdp%2FB098XLXDRS%2Fref%3Dsr_1_91_sspa%3Fcrid%3D3VP0SAVW3TZS7%26keywords%3Dlaptop%26qid%3D1670820934%26sprefix%3Dlaptop%252Caps%252C214%26sr%3D8-91-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"Samsung Galaxy Book2 Pro Intel 12th Gen i5 EvoTM 33.78cm (13.3"") AMOLED Thin & Light Laptop (16 GB/512 GB SSD/Windows 11/MS Office/Backlit KB/Fingerprint Sensor/Silver/0.87Kg), NP930XED-KB3IN","₹95,500",3.7 out of 5 stars,6,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozMDE3NDA3NzM0OTQzNzQ2OjE2NzA4MjA5MzQ6c3BfbXRmOjIwMDQ3NTIxNzIwNjk4OjowOjo&url=%2FSamsung-33-78cm-Windows-Fingerprint-NP930XED-KB3IN%2Fdp%2FB09V1FDNS9%2Fref%3Dsr_1_92_sspa%3Fcrid%3D3VP0SAVW3TZS7%26keywords%3Dlaptop%26qid%3D1670820934%26sprefix%3Dlaptop%252Caps%252C214%26sr%3D8-92-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"ASUS VivoBook 14 (2021), 14-inch (35.56 cm) HD, Intel Pentium Silver N6000 Quad Core, Thin and Light Laptop (8GB/256GB SSD/Office 2021/Windows 11/Integrated Graphics/Silver/1.5 kg), X415KA-BV121WS","₹27,990",4.0 out of 5 stars,70,https://www.amazon.in/ASUS-VivoBook-Integrated-Graphics-X415KA-BV121WS/dp/B09RQL2S5F/ref=sr_1_93?crid=3VP0SAVW3TZS7&keywords=laptop&qid=1670820934&sprefix=laptop%2Caps%2C214&sr=8-93
"Acer Travelmate Business Laptop Intel Core i5-1135G7 Processor ( 16GB DDR4/ 512GB SSD /Intel Iris Xe Graphics/ Windows 11 Home/MS Office) TMP214-53 with 35.56 cm (14.0"") Full HD Display","₹57,490",4.4 out of 5 stars,4,https://www.amazon.in/Acer-Travelmate-i5-1135G7-Processor-TMP214-53/dp/B0B3XSR6RH/ref=sr_1_94?crid=3VP0SAVW3TZS7&keywords=laptop&qid=1670820934&sprefix=laptop%2Caps%2C214&sr=8-94
Asus Vivobook14 Intel Core I3-1115G4(4Gb Ram/256Gb Nvme Ssd/Office H&S 2019/1 Yr. Mcafee/Uhd Graphics/14.1 Inches Fhd Ips/Fp Reader/Windows 11/1.6 Kg/Silver/1 Yr. Warranty) X415Ea-Ek302Ws,"₹30,990",4.0 out of 5 stars,22,https://www.amazon.in/ASUS-VivoBook14-i3-1115G4-14-1-inch-X415EA-EK302WS/dp/B09MN9HLNC/ref=sr_1_95?crid=3VP0SAVW3TZS7&keywords=laptop&qid=1670820934&sprefix=laptop%2Caps%2C214&sr=8-95
"ASUS Intel VivoBook 15 Core i3 10th Gen - (8 GB/1 TB HDD/Windows 11 Home) X515JA-BQ302W Thin and Light Laptop (15.6 inches, Transparent Silver, 1.80 kg)","₹31,390",3.0 out of 5 stars,11,https://www.amazon.in/ASUS-Intel-VivoBook-Core-10th/dp/B0B48KGMZD/ref=sr_1_96?crid=3VP0SAVW3TZS7&keywords=laptop&qid=1670820934&sprefix=laptop%2Caps%2C214&sr=8-96
"ASUS VivoBook S S14 Intel Core i7-1165G7 11th Gen 14"" (35.56 cm) FHD Thin and Light Laptop (8GB RAM/512GB SSD + 32GB Optane Memory/Windows 10/Office 2019/Iris X Graphics/White/1.4 Kg) S433EA-AM702TS","₹65,990",4.3 out of 5 stars,306,https://www.amazon.in/ASUS-VivoBook-i7-1165G7-Graphics-S433EA-AM702TS/dp/B08SN9GJXH/ref=sr_1_97?crid=3VP0SAVW3TZS7&keywords=laptop&qid=1670820934&sprefix=laptop%2Caps%2C214&sr=8-97
"Honor MagicBook X 15, Intel Core i3-10110U / 15.6 inch (39.62 cm) Thin and Light Laptop (8GB/256GB PCIe SSD/Windows 10/Aluminium Metal Body/1.56Kg), Silver/Gray,(BohrBR-WAI9A)","₹32,990",4.2 out of 5 stars,831,https://www.amazon.in/Honor-MagicBook-i3-10110U-Aluminium-BohrBR-WAI9A/dp/B09VPV28W3/ref=sr_1_98?crid=3VP0SAVW3TZS7&keywords=laptop&qid=1670820934&sprefix=laptop%2Caps%2C214&sr=8-98
