Description,Price,Rating,ReviewCount,Url
"AGB Orion RA-0301 14"" Laptop (7th Generation Intel Core i7- / 16GB RAM / 512GB SSD / 1TB HDD / Intel Integrated 620 DDR 4 / Win 10 Pro / Aluminium Body/ Free Bluetooth Mouse","₹48,000",2.7 out of 5 stars,9,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1MzI0NTk2MTQwNzgwODIxOjE2NzA4MjA5MzE6c3BfYXRmX25leHQ6MjAwNTAyMTM2NDE0OTg6OjA6Og&url=%2FAGB-RA-0301-Generation-i7-7500U-Integrated%2Fdp%2FB0769TZKDJ%2Fref%3Dsr_1_65_sspa%3Fcrid%3D3VP0SAVW3TZS7%26keywords%3Dlaptop%26qid%3D1670820931%26sprefix%3Dlaptop%252Caps%252C214%26sr%3D8-65-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
"Samsung Galaxy Book2 360 Intel 12th Gen i5 EvoTM 33.78cm (13.3"") AMOLED 2 in 1 touch screen Laptop (16 GB/512 GB SSD/Windows 11/MS Office/Backlit KB/Fingerprint Sensor/Graphite/1.16Kg), NP730QED-KA2IN","₹92,990",4.2 out of 5 stars,42,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1MzI0NTk2MTQwNzgwODIxOjE2NzA4MjA5MzE6c3BfYXRmX25leHQ6MjAwNDc1MjE3MjAzOTg6OjA6Og&url=%2FSamsung-33-78cm-Fingerprint-Graphite-NP730QED-KA2IN%2Fdp%2FB09V1DYYV6%2Fref%3Dsr_1_66_sspa%3Fcrid%3D3VP0SAVW3TZS7%26keywords%3Dlaptop%26qid%3D1670820931%26sprefix%3Dlaptop%252Caps%252C214%26sr%3D8-66-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
"Samsung Galaxy Book2 360 Intel 12th Gen i5 EvoTM 33.78cm (13.3"") AMOLED 2 in 1 touch screen Laptop (16 GB/512 GB SSD/Windows 11/MS Office/Backlit KB/Fingerprint Sensor/Graphite/1.16Kg), NP730QED-KA2IN","₹92,990",4.2 out of 5 stars,42,https://www.amazon.in/Samsung-33-78cm-Fingerprint-Graphite-NP730QED-KA2IN/dp/B09V1DYYV6/ref=sr_1_67?crid=3VP0SAVW3TZS7&keywords=laptop&qid=1670820931&sprefix=laptop%2Caps%2C214&sr=8-67
Mi Notebook Pro QHD+ IPS Anti-Glare Display Intel Core I5-11300H 11th Gen 14 Inch Thin & Light Laptop (16GB/512GB SSD/Iris Xe Graphics/Windows 11 Home/MS Office 21/Backlit Keyboard/FP Sensor/1.4 Kg),"₹57,990",4.3 out of 5 stars,"1,605",https://www.amazon.in/Notebook-Display-i5-11300H-Graphics-Fingerprint/dp/B098XL8VSM/ref=sr_1_68?crid=3VP0SAVW3TZS7&keywords=laptop&qid=1670820931&sprefix=laptop%2Caps%2C214&sr=8-68
"ASUS Zenbook 14 OLED (2022), 14"" (35.56 cms) 2.8K OLED 16:10 90Hz, Intel Core Evo i7-1260P 12th Gen, Thin and Light Laptop (16GB/512GB SSD/Windows 11/Office 2021/Blue/1.39 kg), UX3402ZA-KM731WS","₹1,01,034",4.0 out of 5 stars,33,https://www.amazon.in/ASUS-Zenbook-OLED-35-56-2-8K/dp/B09YHCYMD4/ref=sr_1_69?crid=3VP0SAVW3TZS7&keywords=laptop&qid=1670820931&sprefix=laptop%2Caps%2C214&sr=8-69
"ASUS VivoBook Flip 14 (2021), 14-inch (35.56 cm) FHD Touch, Intel Core i3-1115G4 11th Gen, 2-in-1 Laptop (8GB/512GB SSD/Office 2021/Windows 11/Integrated Graphics/Black/1.5 kg), TP470EA-EC312WS","₹48,990",4.4 out of 5 stars,18,https://www.amazon.in/ASUS-VivoBook-i3-1115G4-Integrated-TP470EA-EC312WS/dp/B09RQLJ41D/ref=sr_1_70?crid=3VP0SAVW3TZS7&keywords=laptop&qid=1670820931&sprefix=laptop%2Caps%2C214&sr=8-70
"Acer Nitro 5 Gaming Laptop Intel Core i5-11400H 11th Gen Processor (8GB/512GB SSD/GTX 1650 4GB Graphics/Windows 11 Home/RGB), AN515-57 with 15.6""(39.6cms) FHD 144Hz Display + Xbox Game Pass Ultimate","₹57,903",4.1 out of 5 stars,370,https://www.amazon.in/Acer-i5-11400H-Processor-Graphics-AN515-57/dp/B09X7SXPKC/ref=sr_1_71?crid=3VP0SAVW3TZS7&keywords=laptop&qid=1670820931&sprefix=laptop%2Caps%2C214&sr=8-71
"Lenovo IdeaPad Slim 5 AMD Ryzen 7 5700U 15.6""(39.62cm) FHD IPS Laptop (16GB/512GB SSD/Win 11/Office 2021/Backlit KB/Fingerprint/HD Camera/3 Month Game Pass/Graphite Grey/1.66Kg), 82LN00JSIN","₹65,990",4.3 out of 5 stars,58,https://www.amazon.in/Lenovo-IdeaPad-Fingerprint-Graphite-82LN00JSIN/dp/B0BBFTPJ3D/ref=sr_1_72?crid=3VP0SAVW3TZS7&keywords=laptop&qid=1670820931&sprefix=laptop%2Caps%2C214&sr=8-72
"ASUS TUF Dash F15 (2022), 15.6-inch (39.62 cms) WQHD 165Hz/3ms, Intel Core i7-12650H 12th Gen, RTX 3070 8GB Graphics, Gaming Laptop (16GB/1TB SSD/Windows 11/Office 2021/Black/2 kg), FX517ZR-HQ030WS","₹1,49,900",5.0 out of 5 stars,10,https://www.amazon.in/ASUS-15-6-inch-i7-12650H-RTX-3070-FX517ZR-HQ030WS/dp/B0B3DPZ17X/ref=sr_1_73?crid=3VP0SAVW3TZS7&keywords=laptop&qid=1670820931&sprefix=laptop%2Caps%2C214&sr=8-73
"CHUWI HeroBook Air 11.6"" Windows 11 Laptop, Intel Celeron N4020 Processor, 4GB LPDDR4 RAM, 128GB SSD, HD Display, WiFi, Webcam, Ultra Slim and Light Notebook PC for School","₹18,490",4.4 out of 5 stars,6,https://www.amazon.in/HeroBook-Windows-Celeron-Processor-Notebook/dp/B0BC9HC54H/ref=sr_1_74?crid=3VP0SAVW3TZS7&keywords=laptop&qid=1670820931&sprefix=laptop%2Caps%2C214&sr=8-74
